Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
-------------------------------------
| rollout/              |           |
|    ep_len_mean        | 45.9      |
|    ep_rew_mean        | -1e+04    |
| time/                 |           |
|    fps                | 113       |
|    iterations         | 100       |
|    time_elapsed       | 4         |
|    total_timesteps    | 500       |
| train/                |           |
|    entropy_loss       | -1.4      |
|    explained_variance | -0.000602 |
|    learning_rate      | 0.0007    |
|    n_updates          | 99        |
|    policy_loss        | 0.00431   |
|    std                | 0.984     |
|    value_loss         | 2.01e-05  |
-------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 45.9     |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 154      |
|    iterations         | 200      |
|    time_elapsed       | 6        |
|    total_timesteps    | 1000     |
| train/                |          |
|    entropy_loss       | -1.4     |
|    explained_variance | -0.00412 |
|    learning_rate      | 0.0007   |
|    n_updates          | 199      |
|    policy_loss        | 0.00571  |
|    std                | 0.979    |
|    value_loss         | 1.88e-05 |
------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 45.9     |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 174      |
|    iterations         | 300      |
|    time_elapsed       | 8        |
|    total_timesteps    | 1500     |
| train/                |          |
|    entropy_loss       | -1.4     |
|    explained_variance | -0.00135 |
|    learning_rate      | 0.0007   |
|    n_updates          | 299      |
|    policy_loss        | 0.00608  |
|    std                | 0.98     |
|    value_loss         | 1.02e-05 |
------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 45.9     |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 187      |
|    iterations         | 400      |
|    time_elapsed       | 10       |
|    total_timesteps    | 2000     |
| train/                |          |
|    entropy_loss       | -1.4     |
|    explained_variance | 0.0038   |
|    learning_rate      | 0.0007   |
|    n_updates          | 399      |
|    policy_loss        | 0.00382  |
|    std                | 0.98     |
|    value_loss         | 5.53e-06 |
------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 45.9     |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 197      |
|    iterations         | 500      |
|    time_elapsed       | 12       |
|    total_timesteps    | 2500     |
| train/                |          |
|    entropy_loss       | -1.4     |
|    explained_variance | 0.00205  |
|    learning_rate      | 0.0007   |
|    n_updates          | 499      |
|    policy_loss        | 0.00172  |
|    std                | 0.98     |
|    value_loss         | 1.56e-06 |
------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 45.9     |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 204      |
|    iterations         | 600      |
|    time_elapsed       | 14       |
|    total_timesteps    | 3000     |
| train/                |          |
|    entropy_loss       | -1.4     |
|    explained_variance | -0.0117  |
|    learning_rate      | 0.0007   |
|    n_updates          | 599      |
|    policy_loss        | 0.000571 |
|    std                | 0.979    |
|    value_loss         | 4.4e-07  |
------------------------------------
------------------------------------
| rollout/              |          |
|    ep_len_mean        | 388      |
|    ep_rew_mean        | -1e+04   |
| time/                 |          |
|    fps                | 202      |
|    iterations         | 700      |
|    time_elapsed       | 17       |
|    total_timesteps    | 3500     |
| train/                |          |
|    entropy_loss       | -1.37    |
|    explained_variance | -0.0148  |
|    learning_rate      | 0.0007   |
|    n_updates          | 699      |
|    policy_loss        | 1.3      |
|    std                | 0.958    |
|    value_loss         | 1.17     |
